"#","Reference","Qty","Value","Footprint","DNP"
"1","J1","1","Conn_01x02_Pin","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"2","J4, J5, J6","3","Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"3","M1","1","~","CanSat:PowerBoost",""
"4","MCU1","1","~","CanSat:raspberry pi pico",""
"5","Q1","1","AO3400A","Package_TO_SOT_SMD:SOT-23",""
"6","Q2","1","2N3904","Package_TO_SOT_THT:TO-92_Inline",""
"7","Q3","1","DMG2301L","Package_TO_SOT_SMD:SOT-23",""
"8","R1, R4","2","100K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"9","R2, R3","2","1K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"10","R5","1","22K","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"11","S1","1","~","CanSat:BMP280",""
"12","SW1","1","SW_DPDT_x2","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"13","U1","1","~","CanSat:RFM69HCW",""
"14","U2","1","~","CanSat:KPEG132",""
"15","U3","1","MPU6050","CanSat:MPU6050",""
"16","U4","1","~","Package_TO_SOT_THT:TO-92L_Inline",""
"17","U5","1","SGP30","CanSat:SGP30",""
